[utils.icon][WARNING] get_from_list for audio-flac failed, try next (icon.py:56)
[utils.icon][[1;33mWARNING[0m] get_from_list for application-x-generic failed, try next (icon.py:56)
[utils.icon][WARNING] get_from_list for application-x-netshow-channel failed, try next (icon.py:56)
[utils.icon][[1;33mWARNING[0m] get_from_list for application-x-netshow-channel failed, try next (icon.py:56)
[utils.icon][WARNING] get_from_list for gnome-mime-application-x-netshow-channel failed, try next (icon.py:56)
[utils.icon][[1;33mWARNING[0m] get_from_list for gnome-mime-application-x-netshow-channel failed, try next (icon.py:56)
[utils.icon][WARNING] get_from_list for application-x-generic failed, try next (icon.py:56)
[utils.icon][[1;33mWARNING[0m] get_from_list for application-x-generic failed, try next (icon.py:56)
[utils.icon][WARNING] get_from_list for application-pgp-signature failed, try next (icon.py:56)
[utils.icon][[1;33mWARNING[0m] get_from_list for application-pgp-signature failed, try next (icon.py:56)
[utils.icon][WARNING] get_from_list for gnome-mime-application-pgp-signature failed, try next (icon.py:56)
[utils.icon][[1;33mWARNING[0m] get_from_list for gnome-mime-application-pgp-signature failed, try next (icon.py:56)
[utils.icon][WARNING] get_from_list for application-x-generic failed, try next (icon.py:56)
[utils.icon][[1;33mWARNING[0m] get_from_list for application-x-generic failed, try next (icon.py:56)
[utils.icon][WARNING] get_from_list for application-x-cb7 failed, try next (icon.py:56)
[utils.icon][[1;33mWARNING[0m] get_from_list for application-x-cb7 failed, try next (icon.py:56)
[utils.icon][WARNING] get_from_list for gnome-mime-application-x-cb7 failed, try next (icon.py:56)
[utils.icon][[1;33mWARNING[0m] get_from_list for gnome-mime-application-x-cb7 failed, try next (icon.py:56)
[utils.icon][WARNING] get_from_list for application-x-generic failed, try next (icon.py:56)
[utils.icon][[1;33mWARNING[0m] get_from_list for application-x-generic failed, try next (icon.py:56)
[utils.icon][WARNING] get_from_list for application-smil failed, try next (icon.py:56)
[utils.icon][[1;33mWARNING[0m] get_from_list for application-smil failed, try next (icon.py:56)
[utils.icon][WARNING] get_from_list for gnome-mime-application-smil failed, try next (icon.py:56)
[utils.icon][[1;33mWARNING[0m] get_from_list for gnome-mime-application-smil failed, try next (icon.py:56)
[utils.icon][WARNING] get_from_list for application-x-generic failed, try next (icon.py:56)
[utils.icon][[1;33mWARNING[0m] get_from_list for application-x-generic failed, try next (icon.py:56)
[utils.icon][WARNING] get_from_list for application-x-bzpdf failed, try next (icon.py:56)
[utils.icon][[1;33mWARNING[0m] get_from_list for application-x-bzpdf failed, try next (icon.py:56)
[utils.icon][WARNING] get_from_list for gnome-mime-application-x-bzpdf failed, try next (icon.py:56)
[utils.icon][[1;33mWARNING[0m] get_from_list for gnome-mime-application-x-bzpdf failed, try next (icon.py:56)
[utils.icon][WARNING] get_from_list for application-x-generic failed, try next (icon.py:56)
[utils.icon][[1;33mWARNING[0m] get_from_list for application-x-generic failed, try next (icon.py:56)
[utils.icon][WARNING] get_from_list for application-x-qw failed, try next (icon.py:56)
[utils.icon][[1;33mWARNING[0m] get_from_list for application-x-qw failed, try next (icon.py:56)
[utils.icon][WARNING] get_from_list for gnome-mime-application-x-qw failed, try next (icon.py:56)
[utils.icon][[1;33mWARNING[0m] get_from_list for gnome-mime-application-x-qw failed, try next (icon.py:56)
[utils.icon][WARNING] get_from_list for application-x-generic failed, try next (icon.py:56)
[utils.icon][[1;33mWARNING[0m] get_from_list for application-x-generic failed, try next (icon.py:56)
[utils.icon][WARNING] get_from_list for application-x-snes-rom failed, try next (icon.py:56)
[utils.icon][[1;33mWARNING[0m] get_from_list for application-x-snes-rom failed, try next (icon.py:56)
[utils.icon][WARNING] get_from_list for gnome-mime-application-x-snes-rom failed, try next (icon.py:56)
[utils.icon][[1;33mWARNING[0m] get_from_list for gnome-mime-application-x-snes-rom failed, try next (icon.py:56)
[utils.icon][WARNING] get_from_list for application-x-generic failed, try next (icon.py:56)
[utils.icon][[1;33mWARNING[0m] get_from_list for application-x-generic failed, try next (icon.py:56)
[utils.icon][WARNING] get_from_list for application-xml-external-parsed-entity failed, try next (icon.py:56)
[utils.icon][[1;33mWARNING[0m] get_from_list for application-xml-external-parsed-entity failed, try next (icon.py:56)
[utils.icon][WARNING] get_from_list for gnome-mime-application-xml-external-parsed-entity failed, try next (icon.py:56)
[utils.icon][[1;33mWARNING[0m] get_from_list for gnome-mime-application-xml-external-parsed-entity failed, try next (icon.py:56)
[utils.icon][WARNING] get_from_list for application-x-generic failed, try next (icon.py:56)
[utils.icon][[1;33mWARNING[0m] get_from_list for application-x-generic failed, try next (icon.py:56)
[utils.icon][WARNING] get_from_list for application-x-generic failed, try next (icon.py:56)
[utils.icon][[1;33mWARNING[0m] get_from_list for application-x-generic failed, try next (icon.py:56)
[utils.icon][WARNING] get_from_list for application-prs.plucker failed, try next (icon.py:56)
[utils.icon][[1;33mWARNING[0m] get_from_list for application-prs.plucker failed, try next (icon.py:56)
[utils.icon][WARNING] get_from_list for gnome-mime-application-prs.plucker failed, try next (icon.py:56)
[utils.icon][[1;33mWARNING[0m] get_from_list for gnome-mime-application-prs.plucker failed, try next (icon.py:56)
[utils.icon][WARNING] get_from_list for application-x-generic failed, try next (icon.py:56)
[utils.icon][[1;33mWARNING[0m] get_from_list for application-x-generic failed, try next (icon.py:56)
[utils.icon][WARNING] get_from_list for application-x-font-vfont failed, try next (icon.py:56)
[utils.icon][[1;33mWARNING[0m] get_from_list for application-x-font-vfont failed, try next (icon.py:56)
[utils.icon][WARNING] get_from_list for gnome-mime-application-x-font-vfont failed, try next (icon.py:56)
[utils.icon][[1;33mWARNING[0m] get_from_list for gnome-mime-application-x-font-vfont failed, try next (icon.py:56)
[utils.icon][WARNING] get_from_list for application-x-generic failed, try next (icon.py:56)
[utils.icon][[1;33mWARNING[0m] get_from_list for application-x-generic failed, try next (icon.py:56)
[utils.icon][WARNING] get_from_list for application-x-generic failed, try next (icon.py:56)
[utils.icon][[1;33mWARNING[0m] get_from_list for application-x-generic failed, try next (icon.py:56)
[utils.icon][WARNING] get_from_list for application-x-kivio failed, try next (icon.py:56)
[utils.icon][[1;33mWARNING[0m] get_from_list for application-x-kivio failed, try next (icon.py:56)
[utils.icon][WARNING] get_from_list for gnome-mime-application-x-kivio failed, try next (icon.py:56)
[utils.icon][[1;33mWARNING[0m] get_from_list for gnome-mime-application-x-kivio failed, try next (icon.py:56)
[utils.icon][WARNING] get_from_list for application-x-generic failed, try next (icon.py:56)
[utils.icon][[1;33mWARNING[0m] get_from_list for application-x-generic failed, try next (icon.py:56)
[utils.icon][WARNING] get_from_list for application-x-pw failed, try next (icon.py:56)
[utils.icon][[1;33mWARNING[0m] get_from_list for application-x-pw failed, try next (icon.py:56)
[utils.icon][WARNING] get_from_list for gnome-mime-application-x-pw failed, try next (icon.py:56)
[utils.icon][[1;33mWARNING[0m] get_from_list for gnome-mime-application-x-pw failed, try next (icon.py:56)
[utils.icon][WARNING] get_from_list for application-x-generic failed, try next (icon.py:56)
[utils.icon][[1;33mWARNING[0m] get_from_list for application-x-generic failed, try next (icon.py:56)
[utils.icon][WARNING] get_from_list for application-x-tzo failed, try next (icon.py:56)
[utils.icon][[1;33mWARNING[0m] get_from_list for application-x-tzo failed, try next (icon.py:56)
[utils.icon][WARNING] get_from_list for gnome-mime-application-x-tzo failed, try next (icon.py:56)
[utils.icon][[1;33mWARNING[0m] get_from_list for gnome-mime-application-x-tzo failed, try next (icon.py:56)
[utils.icon][WARNING] get_from_list for application-x-generic failed, try next (icon.py:56)
[utils.icon][[1;33mWARNING[0m] get_from_list for application-x-generic failed, try next (icon.py:56)
[utils.icon][WARNING] get_from_list for gnome-mime-application-vnd.openxmlformats-officedocument.presentationml.template failed, try next (icon.py:56)
[utils.icon][[1;33mWARNING[0m] get_from_list for gnome-mime-application-vnd.openxmlformats-officedocument.presentationml.template failed, try next (icon.py:56)
[utils.icon][WARNING] get_from_list for application-x-generic failed, try next (icon.py:56)
[utils.icon][[1;33mWARNING[0m] get_from_list for application-x-generic failed, try next (icon.py:56)
[utils.icon][WARNING] get_from_list for application-x-apple-diskimage failed, try next (icon.py:56)
[utils.icon][[1;33mWARNING[0m] get_from_list for application-x-apple-diskimage failed, try next (icon.py:56)
[utils.icon][WARNING] get_from_list for gnome-mime-application-x-apple-diskimage failed, try next (icon.py:56)
[utils.icon][[1;33mWARNING[0m] get_from_list for gnome-mime-application-x-apple-diskimage failed, try next (icon.py:56)
[utils.icon][WARNING] get_from_list for application-x-generic failed, try next (icon.py:56)
[utils.icon][[1;33mWARNING[0m] get_from_list for application-x-generic failed, try next (icon.py:56)
[utils.icon][WARNING] get_from_list for application-vnd.google-earth.kmz failed, try next (icon.py:56)
[utils.icon][[1;33mWARNING[0m] get_from_list for application-vnd.google-earth.kmz failed, try next (icon.py:56)
[utils.icon][WARNING] get_from_list for gnome-mime-application-vnd.google-earth.kmz failed, try next (icon.py:56)
[utils.icon][[1;33mWARNING[0m] get_from_list for gnome-mime-application-vnd.google-earth.kmz failed, try next (icon.py:56)
[utils.icon][WARNING] get_from_list for application-x-generic failed, try next (icon.py:56)
[utils.icon][[1;33mWARNING[0m] get_from_list for application-x-generic failed, try next (icon.py:56)
[utils.icon][WARNING] get_from_list for application-x-font-libgrx failed, try next (icon.py:56)
[utils.icon][[1;33mWARNING[0m] get_from_list for application-x-font-libgrx failed, try next (icon.py:56)
[utils.icon][WARNING] get_from_list for gnome-mime-application-x-font-libgrx failed, try next (icon.py:56)
[utils.icon][[1;33mWARNING[0m] get_from_list for gnome-mime-application-x-font-libgrx failed, try next (icon.py:56)
[utils.icon][WARNING] get_from_list for application-x-generic failed, try next (icon.py:56)
[utils.icon][[1;33mWARNING[0m] get_from_list for application-x-generic failed, try next (icon.py:56)
[utils.icon][WARNING] get_from_list for application-vnd.oasis.opendocument.image failed, try next (icon.py:56)
[utils.icon][[1;33mWARNING[0m] get_from_list for application-vnd.oasis.opendocument.image failed, try next (icon.py:56)
[utils.icon][WARNING] get_from_list for application-x-generic failed, try next (icon.py:56)
[utils.icon][[1;33mWARNING[0m] get_from_list for application-x-generic failed, try next (icon.py:56)
[utils.icon][WARNING] get_from_list for application-x-planperfect failed, try next (icon.py:56)
[utils.icon][[1;33mWARNING[0m] get_from_list for application-x-planperfect failed, try next (icon.py:56)
[utils.icon][WARNING] get_from_list for gnome-mime-application-x-planperfect failed, try next (icon.py:56)
[utils.icon][[1;33mWARNING[0m] get_from_list for gnome-mime-application-x-planperfect failed, try next (icon.py:56)
[utils.icon][WARNING] get_from_list for application-x-generic failed, try next (icon.py:56)
[utils.icon][[1;33mWARNING[0m] get_from_list for application-x-generic failed, try next (icon.py:56)
[utils.icon][WARNING] get_from_list for application-x-generic failed, try next (icon.py:56)
[utils.icon][[1;33mWARNING[0m] get_from_list for application-x-generic failed, try next (icon.py:56)
[utils.icon][WARNING] get_from_list for application-x-t602 failed, try next (icon.py:56)
[utils.icon][[1;33mWARNING[0m] get_from_list for application-x-t602 failed, try next (icon.py:56)
[utils.icon][WARNING] get_from_list for gnome-mime-application-x-t602 failed, try next (icon.py:56)
[utils.icon][[1;33mWARNING[0m] get_from_list for gnome-mime-application-x-t602 failed, try next (icon.py:56)
[utils.icon][WARNING] get_from_list for application-x-generic failed, try next (icon.py:56)
[utils.icon][[1;33mWARNING[0m] get_from_list for application-x-generic failed, try next (icon.py:56)
[utils.icon][WARNING] get_from_list for application-vnd.ms-excel.addin.macroEnabled.12 failed, try next (icon.py:56)
[utils.icon][[1;33mWARNING[0m] get_from_list for application-vnd.ms-excel.addin.macroEnabled.12 failed, try next (icon.py:56)
[utils.icon][WARNING] get_from_list for gnome-mime-application-vnd.ms-excel.addin.macroEnabled.12 failed, try next (icon.py:56)
[utils.icon][[1;33mWARNING[0m] get_from_list for gnome-mime-application-vnd.ms-excel.addin.macroEnabled.12 failed, try next (icon.py:56)
[utils.icon][WARNING] get_from_list for application-x-generic failed, try next (icon.py:56)
[utils.icon][[1;33mWARNING[0m] get_from_list for application-x-generic failed, try next (icon.py:56)
[utils.icon][WARNING] get_from_list for application-x-mif failed, try next (icon.py:56)
[utils.icon][[1;33mWARNING[0m] get_from_list for application-x-mif failed, try next (icon.py:56)
[utils.icon][WARNING] get_from_list for gnome-mime-application-x-mif failed, try next (icon.py:56)
[utils.icon][[1;33mWARNING[0m] get_from_list for gnome-mime-application-x-mif failed, try next (icon.py:56)
[utils.icon][WARNING] get_from_list for application-x-generic failed, try next (icon.py:56)
[utils.icon][[1;33mWARNING[0m] get_from_list for application-x-generic failed, try next (icon.py:56)
[utils.icon][WARNING] get_from_list for application-pgp-encrypted failed, try next (icon.py:56)
[utils.icon][[1;33mWARNING[0m] get_from_list for application-pgp-encrypted failed, try next (icon.py:56)
[utils.icon][WARNING] get_from_list for gnome-mime-application-pgp-encrypted failed, try next (icon.py:56)
[utils.icon][[1;33mWARNING[0m] get_from_list for gnome-mime-application-pgp-encrypted failed, try next (icon.py:56)
[utils.icon][WARNING] get_from_list for application-x-generic failed, try next (icon.py:56)
[utils.icon][[1;33mWARNING[0m] get_from_list for application-x-generic failed, try next (icon.py:56)
[utils.icon][WARNING] get_from_list for application-x-generic failed, try next (icon.py:56)
[utils.icon][[1;33mWARNING[0m] get_from_list for application-x-generic failed, try next (icon.py:56)
[utils.icon][WARNING] get_from_list for gnome-mime-application-octet-stream failed, try next (icon.py:56)
[utils.icon][[1;33mWARNING[0m] get_from_list for gnome-mime-application-octet-stream failed, try next (icon.py:56)
[utils.icon][WARNING] get_from_list for application-x-generic failed, try next (icon.py:56)
[utils.icon][[1;33mWARNING[0m] get_from_list for application-x-generic failed, try next (icon.py:56)
[utils.icon][WARNING] get_from_list for application-x-generic failed, try next (icon.py:56)
[utils.icon][[1;33mWARNING[0m] get_from_list for application-x-generic failed, try next (icon.py:56)
[utils.icon][WARNING] get_from_list for application-vnd.emusic-emusic_package failed, try next (icon.py:56)
[utils.icon][[1;33mWARNING[0m] get_from_list for application-vnd.emusic-emusic_package failed, try next (icon.py:56)
[utils.icon][WARNING] get_from_list for gnome-mime-application-vnd.emusic-emusic_package failed, try next (icon.py:56)
[utils.icon][[1;33mWARNING[0m] get_from_list for gnome-mime-application-vnd.emusic-emusic_package failed, try next (icon.py:56)
[utils.icon][WARNING] get_from_list for application-x-generic failed, try next (icon.py:56)
[utils.icon][[1;33mWARNING[0m] get_from_list for application-x-generic failed, try next (icon.py:56)
[utils.icon][WARNING] get_from_list for application-x-generic failed, try next (icon.py:56)
[utils.icon][[1;33mWARNING[0m] get_from_list for application-x-generic failed, try next (icon.py:56)
[utils.icon][WARNING] get_from_list for application-x-cdrdao-toc failed, try next (icon.py:56)
[utils.icon][[1;33mWARNING[0m] get_from_list for application-x-cdrdao-toc failed, try next (icon.py:56)
[utils.icon][WARNING] get_from_list for gnome-mime-application-x-cdrdao-toc failed, try next (icon.py:56)
[utils.icon][[1;33mWARNING[0m] get_from_list for gnome-mime-application-x-cdrdao-toc failed, try next (icon.py:56)
[utils.icon][WARNING] get_from_list for application-x-generic failed, try next (icon.py:56)
[utils.icon][[1;33mWARNING[0m] get_from_list for application-x-generic failed, try next (icon.py:56)
[utils.icon][WARNING] get_from_list for application-vnd.sun.xml.draw.template failed, try next (icon.py:56)
[utils.icon][[1;33mWARNING[0m] get_from_list for application-vnd.sun.xml.draw.template failed, try next (icon.py:56)
[utils.icon][WARNING] get_from_list for application-x-generic failed, try next (icon.py:56)
[utils.icon][[1;33mWARNING[0m] get_from_list for application-x-generic failed, try next (icon.py:56)
[utils.icon][WARNING] get_from_list for application-x-kformula failed, try next (icon.py:56)
[utils.icon][[1;33mWARNING[0m] get_from_list for application-x-kformula failed, try next (icon.py:56)
[utils.icon][WARNING] get_from_list for gnome-mime-application-x-kformula failed, try next (icon.py:56)
[utils.icon][[1;33mWARNING[0m] get_from_list for gnome-mime-application-x-kformula failed, try next (icon.py:56)
[utils.icon][WARNING] get_from_list for application-x-generic failed, try next (icon.py:56)
[utils.icon][[1;33mWARNING[0m] get_from_list for application-x-generic failed, try next (icon.py:56)
[utils.icon][WARNING] get_from_list for application-vnd.openofficeorg.extension failed, try next (icon.py:56)
[utils.icon][[1;33mWARNING[0m] get_from_list for application-vnd.openofficeorg.extension failed, try next (icon.py:56)
[utils.icon][WARNING] get_from_list for gnome-mime-application-vnd.openofficeorg.extension failed, try next (icon.py:56)
[utils.icon][[1;33mWARNING[0m] get_from_list for gnome-mime-application-vnd.openofficeorg.extension failed, try next (icon.py:56)
[utils.icon][WARNING] get_from_list for application-x-generic failed, try next (icon.py:56)
[utils.icon][[1;33mWARNING[0m] get_from_list for application-x-generic failed, try next (icon.py:56)
[utils.icon][WARNING] get_from_list for application-x-generic failed, try next (icon.py:56)
[utils.icon][[1;33mWARNING[0m] get_from_list for application-x-generic failed, try next (icon.py:56)
[utils.icon][WARNING] get_from_list for application-x-generic failed, try next (icon.py:56)
[utils.icon][[1;33mWARNING[0m] get_from_list for application-x-generic failed, try next (icon.py:56)
[utils.icon][WARNING] get_from_list for application-x-generic failed, try next (icon.py:56)
[utils.icon][[1;33mWARNING[0m] get_from_list for application-x-generic failed, try next (icon.py:56)
[utils.icon][WARNING] get_from_list for application-x-pak failed, try next (icon.py:56)
[utils.icon][[1;33mWARNING[0m] get_from_list for application-x-pak failed, try next (icon.py:56)
[utils.icon][WARNING] get_from_list for gnome-mime-application-x-pak failed, try next (icon.py:56)
[utils.icon][[1;33mWARNING[0m] get_from_list for gnome-mime-application-x-pak failed, try next (icon.py:56)
[utils.icon][WARNING] get_from_list for application-x-generic failed, try next (icon.py:56)
[utils.icon][[1;33mWARNING[0m] get_from_list for application-x-generic failed, try next (icon.py:56)
[utils.icon][WARNING] get_from_list for application-x-gba-rom failed, try next (icon.py:56)
[utils.icon][[1;33mWARNING[0m] get_from_list for application-x-gba-rom failed, try next (icon.py:56)
[utils.icon][WARNING] get_from_list for gnome-mime-application-x-gba-rom failed, try next (icon.py:56)
[utils.icon][[1;33mWARNING[0m] get_from_list for gnome-mime-application-x-gba-rom failed, try next (icon.py:56)
[utils.icon][WARNING] get_from_list for application-x-generic failed, try next (icon.py:56)
[utils.icon][[1;33mWARNING[0m] get_from_list for application-x-generic failed, try next (icon.py:56)
[utils.icon][WARNING] get_from_list for application-x-glade failed, try next (icon.py:56)
[utils.icon][[1;33mWARNING[0m] get_from_list for application-x-glade failed, try next (icon.py:56)
[utils.icon][WARNING] get_from_list for gnome-mime-application-x-glade failed, try next (icon.py:56)
[utils.icon][[1;33mWARNING[0m] get_from_list for gnome-mime-application-x-glade failed, try next (icon.py:56)
[utils.icon][WARNING] get_from_list for application-x-generic failed, try next (icon.py:56)
[utils.icon][[1;33mWARNING[0m] get_from_list for application-x-generic failed, try next (icon.py:56)
[utils.icon][WARNING] get_from_list for application-x-ksysv-package failed, try next (icon.py:56)
[utils.icon][[1;33mWARNING[0m] get_from_list for application-x-ksysv-package failed, try next (icon.py:56)
[utils.icon][WARNING] get_from_list for gnome-mime-application-x-ksysv-package failed, try next (icon.py:56)
[utils.icon][[1;33mWARNING[0m] get_from_list for gnome-mime-application-x-ksysv-package failed, try next (icon.py:56)
[utils.icon][WARNING] get_from_list for application-x-generic failed, try next (icon.py:56)
[utils.icon][[1;33mWARNING[0m] get_from_list for application-x-generic failed, try next (icon.py:56)
[utils.icon][WARNING] get_from_list for application-xslt+xml failed, try next (icon.py:56)
[utils.icon][[1;33mWARNING[0m] get_from_list for application-xslt+xml failed, try next (icon.py:56)
[utils.icon][WARNING] get_from_list for gnome-mime-application-xslt+xml failed, try next (icon.py:56)
[utils.icon][[1;33mWARNING[0m] get_from_list for gnome-mime-application-xslt+xml failed, try next (icon.py:56)
[utils.icon][WARNING] get_from_list for application-x-generic failed, try next (icon.py:56)
[utils.icon][[1;33mWARNING[0m] get_from_list for application-x-generic failed, try next (icon.py:56)
[utils.icon][WARNING] get_from_list for gnome-mime-application-vnd.oasis.opendocument.formula failed, try next (icon.py:56)
[utils.icon][[1;33mWARNING[0m] get_from_list for gnome-mime-application-vnd.oasis.opendocument.formula failed, try next (icon.py:56)
[utils.icon][WARNING] get_from_list for application-x-generic failed, try next (icon.py:56)
[utils.icon][[1;33mWARNING[0m] get_from_list for application-x-generic failed, try next (icon.py:56)
[utils.icon][WARNING] get_from_list for application-vnd.stardivision.writer failed, try next (icon.py:56)
[utils.icon][[1;33mWARNING[0m] get_from_list for application-vnd.stardivision.writer failed, try next (icon.py:56)
[utils.icon][WARNING] get_from_list for application-x-generic failed, try next (icon.py:56)
[utils.icon][[1;33mWARNING[0m] get_from_list for application-x-generic failed, try next (icon.py:56)
[utils.icon][WARNING] get_from_list for application-x-kexiproject-sqlite2 failed, try next (icon.py:56)
[utils.icon][[1;33mWARNING[0m] get_from_list for application-x-kexiproject-sqlite2 failed, try next (icon.py:56)
[utils.icon][WARNING] get_from_list for gnome-mime-application-x-kexiproject-sqlite2 failed, try next (icon.py:56)
[utils.icon][[1;33mWARNING[0m] get_from_list for gnome-mime-application-x-kexiproject-sqlite2 failed, try next (icon.py:56)
[utils.icon][WARNING] get_from_list for application-x-generic failed, try next (icon.py:56)
[utils.icon][[1;33mWARNING[0m] get_from_list for application-x-generic failed, try next (icon.py:56)
[utils.icon][WARNING] get_from_list for application-x-kexiproject-sqlite3 failed, try next (icon.py:56)
[utils.icon][[1;33mWARNING[0m] get_from_list for application-x-kexiproject-sqlite3 failed, try next (icon.py:56)
[utils.icon][WARNING] get_from_list for gnome-mime-application-x-kexiproject-sqlite3 failed, try next (icon.py:56)
[utils.icon][[1;33mWARNING[0m] get_from_list for gnome-mime-application-x-kexiproject-sqlite3 failed, try next (icon.py:56)
[utils.icon][WARNING] get_from_list for application-x-generic failed, try next (icon.py:56)
[utils.icon][[1;33mWARNING[0m] get_from_list for application-x-generic failed, try next (icon.py:56)
[utils.icon][WARNING] get_from_list for gnome-mime-application-vnd.ms-word.document.macroEnabled.12 failed, try next (icon.py:56)
[utils.icon][[1;33mWARNING[0m] get_from_list for gnome-mime-application-vnd.ms-word.document.macroEnabled.12 failed, try next (icon.py:56)
[utils.icon][WARNING] get_from_list for application-x-generic failed, try next (icon.py:56)
[utils.icon][[1;33mWARNING[0m] get_from_list for application-x-generic failed, try next (icon.py:56)
[utils.icon][WARNING] get_from_list for application-x-generic failed, try next (icon.py:56)
[utils.icon][[1;33mWARNING[0m] get_from_list for application-x-generic failed, try next (icon.py:56)
[utils.icon][WARNING] get_from_list for application-x-mswinurl failed, try next (icon.py:56)
[utils.icon][[1;33mWARNING[0m] get_from_list for application-x-mswinurl failed, try next (icon.py:56)
[utils.icon][WARNING] get_from_list for gnome-mime-application-x-mswinurl failed, try next (icon.py:56)
[utils.icon][[1;33mWARNING[0m] get_from_list for gnome-mime-application-x-mswinurl failed, try next (icon.py:56)
[utils.icon][WARNING] get_from_list for application-x-generic failed, try next (icon.py:56)
[utils.icon][[1;33mWARNING[0m] get_from_list for application-x-generic failed, try next (icon.py:56)
[utils.icon][WARNING] get_from_list for application-x-ustar failed, try next (icon.py:56)
[utils.icon][[1;33mWARNING[0m] get_from_list for application-x-ustar failed, try next (icon.py:56)
[utils.icon][WARNING] get_from_list for gnome-mime-application-x-ustar failed, try next (icon.py:56)
[utils.icon][[1;33mWARNING[0m] get_from_list for gnome-mime-application-x-ustar failed, try next (icon.py:56)
[utils.icon][WARNING] get_from_list for application-x-generic failed, try next (icon.py:56)
[utils.icon][[1;33mWARNING[0m] get_from_list for application-x-generic failed, try next (icon.py:56)
[utils.icon][WARNING] get_from_list for application-x-generic failed, try next (icon.py:56)
[utils.icon][[1;33mWARNING[0m] get_from_list for application-x-generic failed, try next (icon.py:56)
[utils.icon][WARNING] get_from_list for application-mxf failed, try next (icon.py:56)
[utils.icon][[1;33mWARNING[0m] get_from_list for application-mxf failed, try next (icon.py:56)
[utils.icon][WARNING] get_from_list for gnome-mime-application-mxf failed, try next (icon.py:56)
[utils.icon][[1;33mWARNING[0m] get_from_list for gnome-mime-application-mxf failed, try next (icon.py:56)
[utils.icon][WARNING] get_from_list for application-x-generic failed, try next (icon.py:56)
[utils.icon][[1;33mWARNING[0m] get_from_list for application-x-generic failed, try next (icon.py:56)
[utils.icon][WARNING] get_from_list for application-x-chess-pgn failed, try next (icon.py:56)
[utils.icon][[1;33mWARNING[0m] get_from_list for application-x-chess-pgn failed, try next (icon.py:56)
[utils.icon][WARNING] get_from_list for gnome-mime-application-x-chess-pgn failed, try next (icon.py:56)
[utils.icon][[1;33mWARNING[0m] get_from_list for gnome-mime-application-x-chess-pgn failed, try next (icon.py:56)
[utils.icon][WARNING] get_from_list for application-x-generic failed, try next (icon.py:56)
[utils.icon][[1;33mWARNING[0m] get_from_list for application-x-generic failed, try next (icon.py:56)
[utils.icon][WARNING] get_from_list for application-x-java-jnlp-file failed, try next (icon.py:56)
[utils.icon][[1;33mWARNING[0m] get_from_list for application-x-java-jnlp-file failed, try next (icon.py:56)
[utils.icon][WARNING] get_from_list for gnome-mime-application-x-java-jnlp-file failed, try next (icon.py:56)
[utils.icon][[1;33mWARNING[0m] get_from_list for gnome-mime-application-x-java-jnlp-file failed, try next (icon.py:56)
[utils.icon][WARNING] get_from_list for application-x-generic failed, try next (icon.py:56)
[utils.icon][[1;33mWARNING[0m] get_from_list for application-x-generic failed, try next (icon.py:56)
[utils.icon][WARNING] get_from_list for application-x-fluid failed, try next (icon.py:56)
[utils.icon][[1;33mWARNING[0m] get_from_list for application-x-fluid failed, try next (icon.py:56)
[utils.icon][WARNING] get_from_list for gnome-mime-application-x-fluid failed, try next (icon.py:56)
[utils.icon][[1;33mWARNING[0m] get_from_list for gnome-mime-application-x-fluid failed, try next (icon.py:56)
[utils.icon][WARNING] get_from_list for application-x-generic failed, try next (icon.py:56)
[utils.icon][[1;33mWARNING[0m] get_from_list for application-x-generic failed, try next (icon.py:56)
[utils.icon][WARNING] get_from_list for application-pkcs10 failed, try next (icon.py:56)
[utils.icon][[1;33mWARNING[0m] get_from_list for application-pkcs10 failed, try next (icon.py:56)
[utils.icon][WARNING] get_from_list for gnome-mime-application-pkcs10 failed, try next (icon.py:56)
[utils.icon][[1;33mWARNING[0m] get_from_list for gnome-mime-application-pkcs10 failed, try next (icon.py:56)
[utils.icon][WARNING] get_from_list for application-x-generic failed, try next (icon.py:56)
[utils.icon][[1;33mWARNING[0m] get_from_list for application-x-generic failed, try next (icon.py:56)
[utils.icon][WARNING] get_from_list for application-vnd.oasis.opendocument.formula-template failed, try next (icon.py:56)
[utils.icon][[1;33mWARNING[0m] get_from_list for application-vnd.oasis.opendocument.formula-template failed, try next (icon.py:56)
[utils.icon][WARNING] get_from_list for gnome-mime-application-vnd.oasis.opendocument.formula-template failed, try next (icon.py:56)
[utils.icon][[1;33mWARNING[0m] get_from_list for gnome-mime-application-vnd.oasis.opendocument.formula-template failed, try next (icon.py:56)
[utils.icon][WARNING] get_from_list for application-x-generic failed, try next (icon.py:56)
[utils.icon][[1;33mWARNING[0m] get_from_list for application-x-generic failed, try next (icon.py:56)
[utils.icon][WARNING] get_from_list for application-mathematica failed, try next (icon.py:56)
[utils.icon][[1;33mWARNING[0m] get_from_list for application-mathematica failed, try next (icon.py:56)
[utils.icon][WARNING] get_from_list for gnome-mime-application-mathematica failed, try next (icon.py:56)
[utils.icon][[1;33mWARNING[0m] get_from_list for gnome-mime-application-mathematica failed, try next (icon.py:56)
[utils.icon][WARNING] get_from_list for application-x-generic failed, try next (icon.py:56)
[utils.icon][[1;33mWARNING[0m] get_from_list for application-x-generic failed, try next (icon.py:56)
[utils.icon][WARNING] get_from_list for application-x-wpg failed, try next (icon.py:56)
[utils.icon][[1;33mWARNING[0m] get_from_list for application-x-wpg failed, try next (icon.py:56)
